Unnamed: 0,level_0,index,Names,Total_shipped,Total_sales,total_shipped_clean
73,73.0,23,Bayonetta 2 Read the review,0.28m,,0.28
68,68.0,18,Shovel Knight,0.30m,,0.3
20,20.0,20,Pokken Tournament,1.00m,,1.0
19,19.0,19,Hyrule Warriors,1.00m,,1.0
18,18.0,18,LEGO City Undercover Read the review,1.15m,,1.15
17,17.0,17,The Legend of Zelda: Twilight Princess HD,1.16m,,1.16
16,16.0,16,Pikmin 3 Read the review,1.27m,,1.27
15,15.0,15,Captain Toad: Treasure Tracker,1.37m,,1.37
13,13.0,13,Yoshi's Woolly World,1.57m,,1.57
12,12.0,12,The Legend of Zelda: Breath of the Wild,1.70m,,1.7
9,9.0,9,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,7.30m,,7.3
8,8.0,8,Pokémon: Ultra Sun and Ultra Moon,9.12m,,9.12
7,7.0,7,Super Smash Bros. for 3DS Read the review,9.64m,,9.64
6,6.0,6,Super Mario 3D Land Read the review,12.86m,,12.86
5,5.0,5,Animal Crossing: New Leaf Read the review,13.02m,,13.02
4,4.0,4,New Super Mario Bros. 2 Read the review,13.41m,,13.41
3,3.0,3,Pokémon Omega Ruby/Pokémon Alpha Sapphire,14.53m,,14.53
2,2.0,2,Pokémon Sun/Moon,16.29m,,16.29
1,1.0,1,Pokémon X/Y Read the review,16.65m,,16.65
0,0.0,0,Mario Kart 7 Read the review,18.97m,,18.97
